dish_id,image_path,cal_label
1550704750,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550704750\frames_sampled30\camera_A_frame_001.jpeg,low
1550704903,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550704903\frames_sampled30\camera_A_frame_001.jpeg,low
1550705288,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705288\frames_sampled30\camera_A_frame_001.jpeg,low
1550705370,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705370\frames_sampled30\camera_A_frame_001.jpeg,low
1550705445,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705445\frames_sampled30\camera_A_frame_001.jpeg,low
1550705477,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705477\frames_sampled30\camera_A_frame_001.jpeg,low
1550705504,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705504\frames_sampled30\camera_A_frame_001.jpeg,low
1550705535,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705535\frames_sampled30\camera_A_frame_001.jpeg,low
1550705580,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705580\frames_sampled30\camera_A_frame_001.jpeg,low
1550705623,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705623\frames_sampled30\camera_A_frame_001.jpeg,low
1550705669,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705669\frames_sampled30\camera_A_frame_001.jpeg,low
1550705724,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705724\frames_sampled30\camera_A_frame_001.jpeg,low
1550705786,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705786\frames_sampled30\camera_A_frame_001.jpeg,medium
1550705888,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705888\frames_sampled30\camera_A_frame_001.jpeg,low
1550705939,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705939\frames_sampled30\camera_A_frame_001.jpeg,low
1550705995,C:/Users/Leopard/Desktop/Jupyter_Python_ML/Univer/Final_AI_model/Dataset_dish\dish_1550705995\frames_sampled30\camera_A_frame_001.jpeg,medium
